Epoch,Train Loss,Val Loss,Val Dice,Val IoU
1,0.068004,0.021086,0.986008,0.972433
2,0.016407,0.014632,0.988802,0.977870
3,0.012463,0.011562,0.990408,0.981012
4,0.010643,0.009845,0.991780,0.983705
5,0.009200,0.009816,0.991606,0.983365
6,0.008662,0.008846,0.992336,0.984798
7,0.007704,0.008703,0.992367,0.984859
8,0.007282,0.008174,0.992590,0.985298
9,0.006832,0.007620,0.993212,0.986522
10,0.006656,0.008784,0.992336,0.984799
11,0.006316,0.007693,0.993192,0.986483
12,0.006286,0.007614,0.993244,0.986587
13,0.005805,0.007262,0.993552,0.987195
14,0.005553,0.007029,0.993720,0.987526
15,0.005307,0.009360,0.992467,0.985060
16,0.005180,0.007297,0.993635,0.987357
17,0.005177,0.007141,0.993711,0.987508
