Epoch,Train Loss,Val Loss,Val Dice,Val IoU
1,0.147276,0.040806,0.962943,0.928777
2,0.027696,0.024871,0.977765,0.956631
3,0.156683,0.314387,0.691215,0.555870
4,0.261547,0.215231,0.787278,0.673488
5,0.204101,0.223186,0.783599,0.663858
